Date,Open,High,Low,Close,Adj Close,Volume,Action
7/26/2018,194.610001,195.960007,193.610001,194.210007,193.531265,19076000,0
7/27/2018,194.990005,195.190002,190.100006,190.979996,190.312546,24024000,0
7/30/2018,191.899994,192.199997,189.070007,189.910004,189.246292,21029500,0
7/31/2018,190.300003,192.139999,189.339996,190.289993,189.624954,39373000,0
8/1/2018,199.130005,201.759995,197.309998,201.5,200.795792,67935700,0
8/2/2018,200.580002,208.380005,200.350006,207.389999,206.665207,62404000,0
8/3/2018,207.029999,208.740005,205.479996,207.990005,207.263107,33447400,0
8/6/2018,208,209.25,207.070007,209.070007,208.33934,25425400,0
8/7/2018,209.320007,209.5,206.759995,207.110001,206.386185,25587400,0
8/8/2018,206.050003,207.809998,204.520004,207.25,206.525696,22525500,0
8/9/2018,209.529999,209.779999,207.199997,208.880005,208.149994,23492600,0
8/10/2018,207.360001,209.100006,206.669998,207.529999,207.529999,24611200,0
8/13/2018,209.309998,210.949997,207.699997,208.869995,208.869995,25890900,0
8/14/2018,210.160004,210.559998,208.259995,209.75,209.75,20748000,0
8/15/2018,209.220001,210.740005,208.330002,210.240005,210.240005,28807600,0
8/16/2018,211.75,213.809998,211.470001,213.320007,213.320007,28500400,0
8/17/2018,213.440002,217.949997,213.160004,217.580002,217.580002,35427000,100
8/20/2018,218.100006,219.179993,215.110001,215.460007,215.460007,30287700,100
8/21/2018,216.800003,217.190002,214.029999,215.039993,215.039993,26159800,0
8/22/2018,214.100006,216.360001,213.839996,215.050003,215.050003,19018100,0
8/23/2018,214.649994,217.050003,214.600006,215.490005,215.490005,18883200,0
8/24/2018,216.600006,216.899994,215.110001,216.160004,216.160004,18476400,0
8/27/2018,217.149994,218.740005,216.330002,217.940002,217.940002,20525100,0
8/28/2018,219.009995,220.539993,218.919998,219.699997,219.699997,22776800,0
8/29/2018,220.149994,223.490005,219.410004,222.979996,222.979996,27254800,0
8/30/2018,223.25,228.259995,222.399994,225.029999,225.029999,48793800,0
8/31/2018,226.509995,228.869995,226,227.630005,227.630005,43340100,0
9/4/2018,228.410004,229.179993,226.630005,228.360001,228.360001,27390100,0
9/5/2018,228.990005,229.669998,225.100006,226.869995,226.869995,33333000,0
9/6/2018,226.229996,227.350006,221.300003,223.100006,223.100006,34290000,0
9/7/2018,221.850006,225.369995,220.710007,221.300003,221.300003,37619800,0
9/10/2018,220.949997,221.850006,216.470001,218.330002,218.330002,39516500,0
9/11/2018,218.009995,224.300003,216.559998,223.850006,223.850006,35749000,0
9/12/2018,224.940002,225,219.839996,221.070007,221.070007,49278700,0
9/13/2018,223.520004,228.350006,222.570007,226.410004,226.410004,41706400,-100
9/14/2018,225.75,226.839996,222.520004,223.839996,223.839996,31999300,0
9/17/2018,222.149994,222.949997,217.270004,217.880005,217.880005,37195100,0
9/18/2018,217.789993,221.850006,217.119995,218.240005,218.240005,31571700,-100
9/19/2018,218.5,219.619995,215.300003,218.369995,218.369995,27123800,0
9/20/2018,220.240005,222.279999,219.149994,220.029999,220.029999,26608800,0
9/21/2018,220.779999,221.360001,217.289993,217.660004,217.660004,96246700,0
9/24/2018,216.820007,221.259995,216.630005,220.789993,220.789993,27693400,-100
9/25/2018,219.75,222.820007,219.699997,222.190002,222.190002,24554400,100
9/26/2018,221,223.75,219.759995,220.419998,220.419998,23984700,0
9/27/2018,223.820007,226.440002,223.539993,224.949997,224.949997,30181200,0
9/28/2018,224.789993,225.839996,224.020004,225.740005,225.740005,22929400,0
10/1/2018,227.949997,229.419998,226.350006,227.259995,227.259995,23600800,0
10/2/2018,227.25,230,226.630005,229.279999,229.279999,24788200,0
10/3/2018,230.050003,233.470001,229.779999,232.070007,232.070007,28654800,100
10/4/2018,230.779999,232.350006,226.729996,227.990005,227.990005,32042000,0
10/5/2018,227.960007,228.410004,220.580002,224.289993,224.289993,33580500,0
10/8/2018,222.210007,224.800003,220.199997,223.770004,223.770004,29663900,0
10/9/2018,223.639999,227.270004,222.25,226.869995,226.869995,26891000,0
10/10/2018,225.460007,226.350006,216.050003,216.360001,216.360001,41990600,0
10/11/2018,214.520004,219.5,212.320007,214.449997,214.449997,53124400,-100
10/12/2018,220.419998,222.880005,216.839996,222.110001,222.110001,40337900,0
10/15/2018,221.160004,221.830002,217.270004,217.360001,217.360001,30791000,0
10/16/2018,218.929993,222.990005,216.759995,222.149994,222.149994,29184000,-100
